Table S4

A list of the species in the analysis, their geometric mean clutch size (Clutch), sources used for their
geographic distributions (Range) and for data on clutch sizes and intrinsic variables (Traits). For
details on source abbreviations see Fig. S1 and Table S5.

Order              Family          Species                       Clutch   Range Traits
Turniciformes   Turnicidae      Turnix nigricollis              3.9        1   HBW3
Turniciformes   Turnicidae      Turnix melanogaster             3.5        1   HBW3
Turniciformes   Turnicidae      Turnix castanota                4.0        1   HBW3
Turniciformes   Turnicidae      Turnix olivii                   3.5        1   HBW3
Turniciformes   Turnicidae      Turnix varia                    3.5        1   HBW3
Turniciformes   Turnicidae      Turnix everetti                 2.4        1   HBW3
Turniciformes   Turnicidae      Turnix pyrrhothorax             4.0        1   HBW3
Turniciformes   Turnicidae      Turnix velox                    3.5        1   HBW3
Turniciformes   Turnicidae      Ortyxelos meiffrenii            2.0        1   HBW3
Piciformes      Indicatoridae   Indicator variegatus            2.0        1   HBW7
Piciformes      Indicatoridae   Indicator indicator             4.0        1   HBW7
Piciformes      Indicatoridae   Indicator minor                 2.8        1   HBW7
Piciformes      Indicatoridae   Prodotiscus insignis            2.0        1   HBW7
Piciformes      Indicatoridae   Prodotiscus zambesiae           2.0        1   HBW7
Piciformes      Indicatoridae   Prodotiscus regulus             5.5        1   HBW7
Piciformes      Picidae         Jynx torquilla                  9.2        1   HBW7
Piciformes      Picidae         Jynx ruficollis                 3.5        1   HBW7
Piciformes      Picidae         Picumnus innominatus            2.8        1   HBW7


Table S4                                                                              Page 6 of 85
Order        Family    Species                      Clutch   Range Traits
Piciformes   Picidae   Picumnus lafresnayi            2.0        1   HBW7
Piciformes   Picidae   Picumnus minutissimus          2.4        1   HBW7
Piciformes   Picidae   Picumnus cirratus              2.8        1   HBW7
Piciformes   Picidae   Picumnus olivaceus             2.4        1   HBW7
Piciformes   Picidae   Sasia africana                 2.0        1   HBW7
Piciformes   Picidae   Sasia abnormis                 2.4        1   HBW7
Piciformes   Picidae   Sasia ochracea                 2.8        1   HBW7
Piciformes   Picidae   Nesoctites micromegas          2.8        1   HBW7
Piciformes   Picidae   Melanerpes candidus            3.5        1   HBW7
Piciformes   Picidae   Melanerpes lewis               6.5        1   HBW7
Piciformes   Picidae   Melanerpes erythrocephalus     5.3        1   HBW7
