"","species_name","Beak_length_Culmen","Beak_length_Nares","Beak_width","Beak_depth","Tarsus_length","Wing_length","Kipps_distance","Hand_wing_index","Tail_length","Mass","Latitude","AnnualTemp","TempRange","AnnualPrecip","PrecipRange"
"332","Hemiphaga_novaeseelandiae",30.8,14.3,7,7.5,35.9,261.8,82.2,31.4,194,653,"-41,31","11,30638733","18,86308833","1654,6255","75,22839333"
"333","Henicorhina_leucosticta",17.3,11,3.5,3.6,22.5,54.2,5.5,9.9,30.9,14.2,"5,21","24,99664587","12,44178527","2515,557337","272,0991256"
"334","Herpetotheres_cachinnans",33.2,18.3,12.6,20.7,58.9,272.4,51,18.9,219,623.6,"-4,16","24,64707434","14,95141866","1868,399015","244,4823735"
"335","Himantopus_himantopus",64.7,47.1,4.3,4.6,115.8,225.6,115.5,52.2,78.6,176.8,"8,25","20,31850482","26,21023145","796,6612275","154,1852967"
"336","Himatione_sanguinea",19.5,11.6,4,4.6,22.5,68.6,20,29,50.6,15.2,"20,72","21,86140833","12,25813333","1478,5925","124,1328833"
"337","Hirundo_aethiopica",11.3,5.3,3.8,2.4,10.8,105,56.9,54.5,60.2,13.3,"9,12","26,05289517","20,27709124","764,8040274","173,4302644"
"338","Hirundo_albigularis",13.1,6,4.4,3,11.4,125.5,67.9,54.1,66.6,21.8,"-23,86","19,82546474","25,06875513","642,4072628","120,9925681"
"339","Hirundo_angolensis",12.3,6.1,3.6,2.6,11.1,116.5,62.8,53.9,58,17.8,"-6,41","22,34736835","16,93224411","1166,602966","202,1034835"
"340","Hirundo_atrocaerulea",10.7,5,3.6,2.3,10.2,111.5,57.4,51.4,115,13.8,"-16,84","20,47953385","19,71137231","1014,149723","205,417716"
"341","Hirundo_dimidiata",10.3,4.8,3.8,2.3,9.6,97.5,49.3,50.7,58.1,12.1,"-19,07","20,29179152","25,15491541","748,9579249","154,3805095"
"342","Hirundo_neoxena",11.5,5.7,4.5,2.7,10.7,111.5,57.6,51.8,77.7,14.7,"-28,57","19,60389559","25,91249827","620,7308763","78,21917831"
"343","Hirundo_nigrita",12.6,6.1,4,3,10.6,106.6,59.1,55.4,44.6,18.3,"0,23","24,62449666","13,27559594","1781,605079","246,415385"
"344","Hirundo_smithii",11.5,5.2,3.3,2.3,9.8,110.7,64.8,58.4,83.2,12.4,"7,29","23,49020383","22,18316226","1072,813913","238,074683"
