Species;Bad1Good2;Wild-1_Aviary-2_Domestic-3;Day-Night;n;Mass;Trait;TraitValue;Method;Mountains;Summer-Winter;Breeding-NonBreeding;Climate;World;Passerine;Order;Elevation;ElevationLatCor;MeanSurfaceTemperature;AbsoluteMinSurfaceTemperature;AbsoluteMaxSurfaceTemperature;AbsoluteSurfaceTemperatureRange;AverageDailyMinimumSurfaceTemperature;AverageDailyMaximumSurfaceTemperature;AverageDailySurfaceTemperatureDifference;SD_DailyMeanSurfaceTemperature;SE_DailyMeanSurfaceTemperature;MeanGaussianTemperature;AbsoluteMinGaussianTemperature;AbsoluteMaxGaussianTemperature;AbsoluteGaussianTemperatureRange;AverageDailyMinimumGaussianTemperature;AverageDailyMaximumGaussianTemperature;AverageDailyGaussianTemperatureDifference;SD_DailyMeanGaussianTemperature;SE_DailyMeanGaussianTemperature
Excalfactoria chinensis;2;NA;N;;49;BMR;113;flow;;;;;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excalfactoria chinensis;NA;NA;N;;44;BMR;73;close;NA;Summer;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excalfactoria chinensis;NA;NA;D;;44;BMR;74;close;NA;Summer;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excalfactoria chinensis;NA;NA;N;;41;BMR;105,5;close;NA;Winter;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excalfactoria chinensis;NA;NA;D;;41;BMR;125,5;close;NA;Winter;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excalfactoria chinensis;1;3;D;5;42;RMR;87,36;flow;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Falco mexicanus;2;2;N;1;430;BMR;348,3;flow;N;NA;N;NA;New;N;Falconiformes;NA;NA;25;NA;NA;NA;NA;NA;NA;NA;NA;25;NA;NA;NA;NA;NA;NA;NA;NA
Falco sparverius;2;2;N;3;116;BMR;118,67;flow;N;NA;N;NA;New;N;Falconiformes;NA;NA;25;NA;NA;NA;NA;NA;NA;NA;NA;25;NA;NA;NA;NA;NA;NA;NA;NA
Falco sparverius;2;NA;N;3;104,7;BMR;106,1;flow;NA;Autumn;;;New;N;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Falco sparverius;2;NA;D;3;104,7;BMR;183,8;flow;NA;Autumn;;;New;N;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
