"","species_name","Mutation_AG_midori","Mutation_CT_midori"
"419","Motacilla flava","0.163673","0.252684"
"420","Muscicapa striata","0.134504","0.34678"
"421","Myadestes genibarbis","0.201017","0.289499"
"422","Myadestes occidentalis","0.215235","0"
"423","Mycteria americana","0","0.423645"
"424","Myiagra ruficollis","0.193789","0.301912"
"425","Myiarchus stolidus","0.221151","0.257888"
"426","Myiarchus swainsoni","0.130121","0.413448"
"427","Myiarchus tyrannulus","0.204785666666667","0.290393666666667"
"428","Myioborus melanocephalus","0.243937","0.361728"
"429","Myioborus miniatus","0.1459183","0.477440333333333"
"430","Myioborus ornatus","0.224305","0.333413"
"431","Myiopagis viridicata","0.217979","0.301427"
"432","Myrmeciza loricata","0.303891","0.246238"
"433","Myrmecocichla formicivora","0.241536","0"
"434","Myrmoborus myotherinus","0.238694","0.474574"
"435","Myrmothera campanisona","0.2090165","0.3974545"
"436","Myrmotherula axillaris","0.198618","0.3597"
"437","Myrmotherula brachyura","0.359658","0.311534"
"438","Myzomela erythrocephala","0.299797","0.173684"
"439","Myzomela obscura","0.220633","0.264507"
"440","Myzomela tristrami","0.180521","0.447013"
"441","Napothera epilepidota","0.221269","0.287097"
"442","Nectarinia olivacea","0.347246","0.231467"
"443","Neopelma chrysocephalum","0.12578","0.146312"
"444","Neopelma pallescens","0.442585","0"
"445","Neopelma sulphureiventer","0.189205","0.40931"
"446","Nesillas lantzii","0.203493","0.427753"
"447","Nesillas typica","0.23221","0.283502"
"448","Newtonia amphichroa","0.3341965","0.0457036"
"449","Newtonia archboldi","0.446069","0"
"450","Newtonia brunneicauda","0.235729","0.424274"
"451","Ninox boobook","0.573543","0"
"452","Ninox philippensis","0.240216","0.487643"
"453","Northiella haematogaster","0.421743","0"
"454","Numenius tahitiensis","0.326722","0.382387"
"455","Oceanodroma melania","0","0"
"456","Oenanthe hispanica","0.2104535","0.375542"
"457","Oenanthe oenanthe","0.169271136363636","0.366345818181818"
"458","Oenanthe pleschanka","0.159132","0"
"459","Onychorhynchus coronatus","0.27109","0.298377"
"460","Oriolus chinensis","0.248163","0.3032"
"461","Oriolus flavocinctus","0.168297","0.309302"
"462","Orthorhyncus cristatus","0.231972","0.271395"
"463","Orthotomus sericeus","0.227776","0.297094"
"464","Otus elegans","0.206645","0.223032"
"465","Otus megalotis","0.220944","0.246594"
"466","Otus rutilus","0.0567699","0.757759"
"467","Pachycephala caledonica","0.16775","0.314001"
"468","Pachycephala hypoxantha","0.226758","0.485053"
"469","Pachycephala lanioides","0.348995","0"
"470","Pachycephala melanura","0.0865248","0.387934"
"471","Pachycephala pectoralis","0.230376","0.307827"
"472","Pachycephala philippinensis","0.165729","0.36182"
"473","Pachyptila crassirostris","0.250188","0"
"474","Pachyptila vittata","0.581726","0"
"475","Pandion haliaetus","0.242075","0.513242"
"476","Paradisaea minor","0.291422","0.208119"
"477","Paradisaea raggiana","0.357474","0.0656376"
"478","Paradoxornis brunneus","0.192348","0.300494"
"479","Pardalotus punctatus","0.259314","0.211218"
"480","Pardalotus striatus","0.284181","0.460762"
"481","Paroaria coronata","0.237398","0.186367"
"482","Parus major","0.3186335","0.310095"
"483","Parus monticolus","0.201679","0.515177"
"484","Passer domesticus","0.248936","0.413477"
"485","Passer hispaniolensis","0.182752","0.196357"
"486","Passer iagoensis","0","0.703818"
"487","Passer montanus","0.3115295","0.2175575"
"488","Passerculus sandwichensis","0.2502095","0.3523325"
"489","Passerella iliaca","0.136107","0.102605"
"490","Passerina amoena","0.249572","0.286389"
"491","Passerina cyanea","0.196951","0.416057"
"492","Pelecanoides urinatrix","0.199647","0.317672"
"493","Pellorneum ruficeps","0.222256","0.2778595"
"494","Perisoreus canadensis","0.225362","0.262634"
"495","Phacellodomus rufifrons","0.264189","0.110081"
"496","Phaenicophilus palmarum","0.153964","0.445492"
"497","Phaethornis bourcieri","0.194442","0.313003"
"498","Phaethornis longirostris","0.0381144","0.592755"
"499","Phaethornis striigularis","0.331991","0.161127"
"500","Phaethornis superciliosus","0.18593","0.418706"
"501","Phapitreron leucotis","0.116473","0.587757"
"502","Phasianus colchicus","0.150248","0.544605"
"503","Pheucticus melanocephalus","0.200535","0.34249"
"504","Philemon buceroides","0.178632","0.350271"
"505","Philemon citreogularis","0.231865","0.218156"
"506","Philemon corniculatus","0.413098","0.116146"
"507","Phoenicircus carnifex","0.142058","0.287307"
"508","Phoenicircus nigricollis","0.195837","0.450623"
"509","Phoeniconaias minor","0.378698","0.3328415"
"510","Phylidonyris novaehollandiae","0.144844","0.311974"
"511","Phyllastrephus debilis","0.252067","0.312193"
"512","Phyllastrephus icterinus","0.229529","0.272987"
"513","Phylloscartes ventralis","0.167592","0.534709"
"514","Phylloscopus affinis","0.170064","0.374920025"
"515","Phylloscopus borealis","0.235192","0.357135"
"516","Phylloscopus canariensis","0.113841","0.305265"
"517","Phylloscopus cebuensis","0.302512","0.270835"
"518","Phylloscopus claudiae","0.503223","0"
"519","Phylloscopus collybita","0.192540583333333","0.32538375"
"520","Phylloscopus goodsoni","0.20787","0.389329"
"521","Phylloscopus griseolus","0.0863648","0.456137166666667"
