"","species_name","order"
"217","Emberizoides_herbicola","Passeriformes"
"218","Empidonax_alnorum","Passeriformes"
"219","Empidonax_difficilis","Passeriformes"
"220","Empidonax_flaviventris","Passeriformes"
"221","Empidonax_minimus","Passeriformes"
"222","Empidonax_traillii","Passeriformes"
"223","Empidonax_wrightii","Passeriformes"
"224","Entomyzon_cyanotis","Passeriformes"
"225","Eopsaltria_australis","Passeriformes"
"226","Eopsaltria_griseogularis","Passeriformes"
"227","Epinecrophylla_haematonota","Passeriformes"
"228","Eremophila_alpestris","Passeriformes"
"229","Erithacus_rubecula","Passeriformes"
"230","Estrilda_astrild","Passeriformes"
"231","Eucometis_penicillata","Passeriformes"
"232","Eumyias_albicaudatus","Passeriformes"
"233","Eumyias_panayensis","Passeriformes"
"234","Euphonia_affinis","Passeriformes"
"235","Euphonia_gouldi","Passeriformes"
"236","Falco_cherrug","Falconiformes"
"237","Falco_peregrinus","Falconiformes"
"238","Ficedula_basilanica","Passeriformes"
"239","Ficedula_hyperythra","Passeriformes"
"240","Ficedula_nigrorufa","Passeriformes"
"241","Formicarius_analis","Passeriformes"
"242","Formicarius_colma","Passeriformes"
"243","Formicivora_grisea","Passeriformes"
"244","Formicivora_serrana","Passeriformes"
"245","Forpus_modestus","Psittaciformes"
"246","Forpus_passerinus","Psittaciformes"
"247","Foudia_madagascariensis","Passeriformes"
"248","Foulehaio_carunculatus","Passeriformes"
"249","Fringilla_coelebs","Passeriformes"
"250","Galbula_albirostris","Piciformes"
"251","Galbula_cyanicollis","Piciformes"
"252","Galbula_dea","Piciformes"
"253","Galbula_leucogastra","Piciformes"
"254","Galerida_cristata","Passeriformes"
"255","Gallus_gallus","Galliformes"
"256","Garrulax_canorus","Passeriformes"
"257","Garrulax_chinensis","Passeriformes"
"258","Garrulax_pectoralis","Passeriformes"
"259","Garrulax_taewanus","Passeriformes"
"260","Garrulus_glandarius","Passeriformes"
"261","Geothlypis_aequinoctialis","Passeriformes"
"262","Geothlypis_trichas","Passeriformes"
"263","Gerygone_levigaster","Passeriformes"
"264","Gerygone_magnirostris","Passeriformes"
"265","Gerygone_palpebrosa","Passeriformes"
"266","Glyphorynchus_spirurus","Passeriformes"
"267","Grallaria_hypoleuca","Passeriformes"
"268","Grallaria_rufula","Passeriformes"
"269","Grallaria_squamigera","Passeriformes"
"270","Granatellus_pelzelni","Passeriformes"
"271","Gymnorhina_tibicen","Passeriformes"
"272","Gyps_africanus","Accipitriformes"
"273","Gyps_bengalensis","Accipitriformes"
"274","Habia_fuscicauda","Passeriformes"
"275","Halcyon_senegalensis","Coraciiformes"
"276","Harpactes_ardens","Trogoniformes"
"277","Hemispingus_frontalis","Passeriformes"
"278","Hemithraupis_flavicollis","Passeriformes"
"279","Hemitriccus_diops","Passeriformes"
"280","Hemixos_flavala","Passeriformes"
"281","Henicorhina_leucophrys","Passeriformes"
"282","Henicorhina_leucosticta","Passeriformes"
"283","Herpsilochmus_rufimarginatus","Passeriformes"
"284","Hirundo_rustica","Passeriformes"
"285","Hylexetastes_perrotii","Passeriformes"
"286","Hylia_prasina","Passeriformes"
"287","Hylopezus_macularius","Passeriformes"
"288","Hylophilus_decurtatus","Passeriformes"
"289","Hylophilus_muscicapinus","Passeriformes"
"290","Hylophilus_ochraceiceps","Passeriformes"
"291","Hylophylax_naevius","Passeriformes"
"292","Hypocnemis_cantator","Passeriformes"
"293","Hypocnemis_flavescens","Passeriformes"
"294","Hypothymis_azurea","Passeriformes"
"295","Hypsipetes_leucocephalus","Passeriformes"
"296","Hypsipetes_madagascariensis","Passeriformes"
"297","Icterus_cayanensis","Passeriformes"
"298","Icterus_galbula","Passeriformes"
"299","Icterus_gularis","Passeriformes"
"300","Illadopsis_fulvescens","Passeriformes"
"301","Iole_propinqua","Passeriformes"
"302","Irena_cyanogastra","Passeriformes"
"303","Irena_puella","Passeriformes"
"304","Iridosornis_analis","Passeriformes"
"305","Iridosornis_reinhardti","Passeriformes"
"306","Iridosornis_rufivertex","Passeriformes"
"307","Junco_hyemalis","Passeriformes"
"308","Junco_phaeonotus","Passeriformes"
"309","Lalage_tricolor","Passeriformes"
"310","Lampornis_amethystinus","Apodiformes"
"311","Laniarius_atrococcineus","Passeriformes"
"312","Laniarius_ferrugineus","Passeriformes"
"313","Laniarius_poensis","Passeriformes"
"314","Lanius_collaris","Passeriformes"
"315","Lanius_collurio","Passeriformes"
"316","Lanius_cristatus","Passeriformes"
"317","Larus_argentatus","Charadriiformes"
"318","Larus_canus","Charadriiformes"
"319","Larus_dominicanus","Charadriiformes"
"320","Larus_hyperboreus","Charadriiformes"
"321","Lepidocolaptes_affinis","Passeriformes"
"322","Lepidocolaptes_angustirostris","Passeriformes"
"323","Lepidothrix_coronata","Passeriformes"
"324","Lepidothrix_iris","Passeriformes"
"325","Lepidothrix_nattereri","Passeriformes"
"326","Lepidothrix_vilasboasi","Passeriformes"
"327","Leptopogon_superciliaris","Passeriformes"
"328","Leptopogon_taczanowskii","Passeriformes"
"329","Leucosticte_arctoa","Passeriformes"
"330","Leucosticte_brandti","Passeriformes"
"331","Leucosticte_tephrocotis","Passeriformes"
"332","Lichenostomus_cratitius","Passeriformes"
"333","Lichenostomus_melanops","Passeriformes"
"334","Lichmera_indistincta","Passeriformes"
"335","Liocichla_steerii","Passeriformes"
"336","Locustella_certhiola","Passeriformes"
"337","Locustella_luscinioides","Passeriformes"
"338","Locustella_ochotensis","Passeriformes"
"339","Locustella_pleskei","Passeriformes"
"340","Lonchura_castaneothorax","Passeriformes"
"341","Lonchura_flaviprymna","Passeriformes"
"342","Lophura_nycthemera","Galliformes"
"343","Loxia_curvirostra","Passeriformes"
"344","Loxigilla_violacea","Passeriformes"
"345","Luscinia_brunnea","Passeriformes"
"346","Luscinia_svecica","Passeriformes"
"347","Macronous_striaticeps","Passeriformes"
"348","Malacopteron_cinereum","Passeriformes"
"349","Malacopteron_magnirostre","Passeriformes"
"350","Malacoptila_fusca","Piciformes"
"351","Malacoptila_rufa","Piciformes"
"352","Malurus_amabilis","Passeriformes"
"353","Malurus_cyaneus","Passeriformes"
"354","Malurus_lamberti","Passeriformes"
"355","Malurus_leucopterus","Passeriformes"
"356","Malurus_melanocephalus","Passeriformes"
"357","Malurus_pulcherrimus","Passeriformes"
"358","Malurus_splendens","Passeriformes"
"359","Manacus_manacus","Passeriformes"
"360","Manorina_melanocephala","Passeriformes"
"361","Margarops_fuscatus","Passeriformes"
"362","Megalaima_haemacephala","Piciformes"
"363","Megascops_watsonii","Strigiformes"
"364","Melanerpes_aurifrons","Piciformes"
"365","Melanerpes_carolinus","Piciformes"
"366","Melanerpes_chrysogenys","Piciformes"
