species_name,higher_altitude,far_migration,wintering,diving,flying
Picumnus_innominatus,3000,N,N,N,Y
Pinguinus_impennis,1000,M,M,Y,N
Pinicola_enucleator,3100,M,Y,N,Y
Pionites_leucogaster,1000,M,N,N,Y
Pionus_chalcopterus,2800,M,N,N,Y
Pionus_menstruus,1600,M,N,N,Y
Pipile_pipile,1800,N,N,N,Y
Pipilo_maculatus,3300,M,M,N,Y
Piranga_ludoviciana,3050,Y,N,N,Y
Pitta_nympha,1300,Y,N,N,Y
Platalea_leucorodia,,,,,
Platalea_minor,,,,,
Pluvialis_fulva,2500,Y,N,N,Y
Pluvianellus_socialis,1200,M,N,N,Y
Podiceps_cristatus,3000,Y,N,N,Y
Podoces_hendersoni,3800,N,M,N,Y
Poecile_atricapilla,3200,N,Y,N,Y
Poecile_montanus,3900,N,Y,N,Y
Poecile_palustris,2100,N,M,N,Y
Pogoniulus_bilineatus,1700,N,N,N,Y
Poicephalus_gulielmi,3200,N,N,N,Y
Polyplectron_bicalcaratum,2000,M,N,N,Y
Polyplectron_germaini,1800,N,N,N,Y
Polyplectron_napoleonis,1500,M,N,N,Y
Pomatorhinus_ruficollis,3400,N,N,N,Y
Poospiza_cabanisi,500,N,N,N,Y
Poospiza_lateralis,1800,N,N,N,Y
Poospiza_thoracica,1500,N,N,N,Y
Porphyrio_hochstetteri,1500,N,M,N,N
Porphyrio_porphyrio,2500,M,N,M,Y
