Kingdom;Phylum;Class;Order;Family;Genus;Species;GenerationLength_d;FrT;Hib;Daily;Mars;Mono;residuals
Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;Felis_silvestris;2905.4;0.172913200978689;0;0;0;0;-0.0212390414191114
Animalia;Chordata;Mammalia;Artiodactyla;Giraffidae;Giraffa;Giraffa_camelopardalis;5251.01166657;0.160542665369837;0;0;0;0;-0.0211828240804977
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;Bos_javanicus;3285;0.171034427582324;0;0;0;0;-0.0211067421873475
NA;NA;NA;NA;NA;Bos;Bos_mutus;3650;0.169201554426042;0;0;0;0;-0.0210058916627373
Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera_tigris;2920;0.173090202872811;0;0;0;0;-0.0209846905777539
Animalia;Chordata;Mammalia;Primates;Cercopithecidae;Macaca;Macaca_thibetana;3285;0.171258847599129;0;0;0;0;-0.0208823221705426
NA;NA;NA;NA;NA;Macaca;Macaca_leonina;4015;0.167730690090986;0;0;0;0;-0.0205430323168997
Animalia;Chordata;Mammalia;Artiodactyla;Tragulidae;Hyemoschus;Hyemoschus_aquaticus;1930.0898;0.179002187537537;0;0;0;0;-0.0203171245313767
NA;NA;NA;NA;NA;Cercocebus;Cercocebus_chrysogaster;3492.44166666667;0.170999193928066;0;0;0;0;-0.0200429762162984
Animalia;Chordata;Mammalia;Primates;Cercopithecidae;Papio;Papio_hamadryas;5332.504;0.161359168906228;0;0;0;0;-0.0199345845031076
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Litocranius;Litocranius_walleri;2555;0.176126280269308;0;0;0;0;-0.0198823368621492
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bison;Bison_bonasus;3595.3298;0.170876068099633;0;0;0;0;-0.019621013771007
Animalia;Chordata;Mammalia;Carnivora;Felidae;Prionailurus;Prionailurus_planiceps;2190;0.178888421515915;0;0;0;0;-0.0190539192964351
Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus_wiedii;2190;0.178894806146859;0;0;0;0;-0.0190475346654909
Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus_geoffroyi;2827.89;0.175547110632045;0;0;0;0;-0.0190157699096077
Animalia;Chordata;Mammalia;Primates;Cercopithecidae;Macaca;Macaca_nemestrina;4015;0.169347951148174;0;0;0;0;-0.0189257712597116
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Aepyceros;Aepyceros_melampus;2674.111666657;0.176535074175713;0;0;0;0;-0.0188425044612647
NA;NA;NA;NA;NA;Papio;Papio_ursinus;5714.3305;0.160616128614769;0;0;0;0;-0.0186547564519837
Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera_leo;2190;0.179298252602655;0;0;0;0;-0.0186440882096953
Animalia;Chordata;Mammalia;Primates;Cercopithecidae;Macaca;Macaca_arctoides;3650;0.172054942666318;0;0;0;0;-0.0181525034224604
NA;NA;NA;NA;NA;Cercocebus;Cercocebus_atys;3285;0.174004368018303;0;0;0;0;-0.0181368017513689
Animalia;Chordata;Mammalia;Carnivora;Phocidae;Lobodon;Lobodon_carcinophaga;5475;0.162555685087956;0;0;0;0;-0.0179831425963586
Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;Lynx_rufus;3810.03222219;0.171530902273832;0;0;0;0;-0.0178287134101396
Animalia;Chordata;Mammalia;Primates;Cercopithecidae;Macaca;Macaca_nigra;4745;0.166588517802493;0;0;0;0;-0.0178177572436074
Animalia;Chordata;Mammalia;Carnivora;Canidae;Nyctereutes;Nyctereutes_procyonoides;2091.936666657;0.180675336940991;0;0;0;0;-0.0177865309670103
Animalia;Chordata;Mammalia;Rodentia;Muridae;Pseudomys;Pseudomys_chapmani;884.68295;0.18719607688503;0;0;0;0;-0.0176616680113158
NA;NA;NA;NA;NA;Macaca;Macaca_cyclopis;4572.98958571429;0.16766925762139;0;0;0;0;-0.0176483067711881
Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus_pardalis;3011.876283343;0.175959805708454;0;0;0;0;-0.0176283388522128
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bison;Bison_bison;4288.14166657;0.169334412815435;0;0;0;0;-0.0174922397050952
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Mustela;Mustela_frenata;986.110483343;0.18705204211202;0;0;0;0;-0.0172683525839964
