Kingdom	Phylum	Class	Subclass	Infraclass	Superorder	Order (or infraorder for Cetacea)	Family	Species	AdultBodyMass_g	Sources_AdultBodyMass	GenerationLength_d	Sources_GL	FrT	residuals	Hib	Hib+unconfirmedHib	Daily	Daily+unconfirmedDaily	Mars	Mono	Temperature(C)_White2003,2006	Temperature(C)_White2003,2006+other	Temperature(C)_White2003,2006+other+close species	BMR(mL O2 h−1)_White2003,2006+other	BodyMassBMR(g)_White2003,2006+other	BMR(mL O2 h−1 g-1)_White2003,2006+other	Sourses_BodyT&BMR
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Muridae	Pseudomys_chapmani	10,95	PanTHERIA	884,68295	Mean_congenerics_same_body_mass	0,187196077	-0,017661668	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Cetacea	Delphinidae	Pseudorca_crassidens	1360000	PanTHERIA	7242,6075	Rspan-AFR(SM+Gest)	0,20411036	0,032936092	0	0	0	0	0	0		36,60	36,60				AnAge
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Pseudoryx_nghetinhensis	97842,2	PanTHERIA	2287,540787	Mean_family_same_body_mass	0,168872244	-0,028553338	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Sciuridae	Pteromys_volans	143,09	PanTHERIA	1384,121263	Mean_family_same_body_mass	0,262256766	0,060044982	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Chiroptera	Mormoopidae	Pteronotus_parnellii	19,59	PanTHERIA	1888,065371	Mean_order_same_mass	0,144388615	-0,055153337	0	0	0	0	0	0	36,40	36,40	36,40	30,72	19,20	1,60	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus_alecto	610,13	PanTHERIA	2945,918407	Mean_congenerics_same_body_mass	0,128634489	-0,065303092	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus_dasymallus	491,86	PanTHERIA	1825	GMA	0,119887836	-0,079988228	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus_scapulatus	380,35	PanTHERIA	2945,918407	Mean_congenerics_same_body_mass	0,136701992	-0,057235589	0	0	0	0	0	0	37,00	37,00	37,00	242,54	362,00	0,67	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus_vampyrus	1027,54	PanTHERIA	2945,918407	Mean_congenerics	0,122267791	-0,07166979	0	0	0	0	0	0	36,90	36,90	36,90	804,10	1024,30	0,79	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Cervidae	Pudu_puda	9642,62	PanTHERIA	1460	GMA	0,229137527	0,027327739	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Felidae	Puma_concolor	53954,05	PanTHERIA	2693,790067	Rspan-AFB	0,170004536	-0,025268789	0	0	0	0	0	0	37,60	37,60	37,60	8841,70	37200,00	0,24	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Felidae	Puma_yagouaroundi	6875	PanTHERIA	2250,566667	Rspan-AFR(SM+Gest)	0,175647003	-0,021974463	0	0	0	0	0	0	38,40	38,40	38,40	1737,00	8400,00	0,21	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Phocidae	Pusa_caspica	62326,2	PanTHERIA	5840	GMA	0,139680662	-0,038924442	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Phocidae	Pusa_hispida	70963,6	PanTHERIA	6803,8094	Rspan-AFR(SM+Gest)	0,135634608	-0,037864356	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Phocidae	Pusa_sibirica	89499,99	PanTHERIA	7898,81575	Rspan-AFR(SM+Gest)	0,137970488	-0,029727272	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Cercopithecidae	Pygathrix_nemaeus	9411,1	PanTHERIA	4015	GMA	0,221405723	0,033132001	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Cercopithecidae	Pygathrix_nigripes	10333,32	PanTHERIA	4015	GMA	0,22505714	0,036783418	0	0	0	0	0	0							
