"Species" "Temperature" "Longevity" "LongevityDummy" "AC_TGSkew" "Ectothermy"
"Choloepus_hoffmanni" 34.4 5095.5978 1 0.65410199556541 0
"Chrysochloris_asiatica" 34 1036.557583 0 0.45346062052506 0
"Chrysocyon_brachyurus" NA 2032.3307 0 0.374288964732651 0
"Colobus_guereza" 37 4509.575 1 0.520856820744081 0
"Condylura_cristata" 37.7 558.6411 0 0.606734816596512 0
"Connochaetes_gnou" NA 2860.14 1 0.599320882852292 0
"Connochaetes_taurinus" 38 2942.265 1 0.605411499436302 0
"Cricetulus_kamensis" NA 589.3882991 0 0.563758389261745 0
"Cricetulus_longicaudatus" NA 589.3882991 0 0.325301204819277 0
"Crocidura_attenuata" 35 427.67965 0 0.362335432169433 0
"Crocidura_beatus" 35 427.67965 0 0.346064814814815 0
"Crocidura_grayi" 35 427.67965 0 0.359537572254335 0
"Crocidura_lasiura" 35 427.67965 0 0.356125356125356 0
"Crocidura_mindorus" 35 427.67965 0 0.385241138872748 0
"Crocidura_negrina" 35 427.67965 0 0.3329473074696 0
"Crocidura_orientalis" 35 427.67965 0 0.381395348837209 0
"Crocidura_palawanensis" NA 409.171225 0 0.37122969837587 0
"Crocidura_shantungensis" NA 409.171225 0 0.3279258400927 0
"Crocuta_crocuta" NA 5054.41125 1 0.561111111111111 0
"Ctenomys_leucodon" 36.1 600.93415 0 0.449451887941535 0
"Cuon_alpinus" NA 2041.808633 0 0.347972972972973 0
"Cynomys_leucurus" 36.7 1567.7682 0 0.349303621169916 0
"Cynomys_ludovicianus" NA 1567.7682 0 0.334804191947049 0
"Cynopterus_brachyotis" 36.5 1287.664 0 0.585406301824212 0
"Cystophora_cristata" NA 3650 1 0.582055650198751 0
"Dactylomys_dactylinus" NA 739.0095889 0 0.427725118483412 0
"Dactylopsila_trivirgata" NA 1905.2339 0 0.558411214953271 0
"Dama_dama" NA 3286.095 1 0.488129704690214 0
"Dama_mesopotamica" NA 2605.92075 1 0.483159117305459 0
"Damaliscus_lunatus" NA 2190 0 0.608988764044944 0
"Damaliscus_pygargus" NA 3053.358833 1 0.57190635451505 0
"Dasypus_hybridus" NA 1460 0 0.6487747957993 0
"Dasypus_kappleri" NA 1642.5 0 0.691588785046729 0
"Dasypus_novemcinctus" 34.5 1825 0 0.645067133683596 0
"Dasypus_pilosus" NA 1642.5 0 0.649677797305214 0
"Dasypus_sabanicola" NA 1642.5 0 0.644157369348209 0
"Dasypus_septemcinctus" NA 1642.5 0 0.6487747957993 0
"Dasypus_yepesi" NA 1642.5 0 0.640304628002343 0
"Daubentonia_madagascariensis" NA 2920 1 0.591184573002755 0
"Delphinus_capensis" NA 3545.59095 1 0.487327188940092 0
