"Species" "A_T" "A_G" "A_C" "T_A" "T_G" "T_C" "G_A" "G_T" "G_C" "C_A" "C_T" "C_G" "Class"
"Fundulus_heteroclitus" 0.0261901115202302 0.0613750680900162 0.0360332155523588 0.0293616318672575 0.0154894831126171 0.109951860908635 0.448848223378411 0.0241112409832939 0.0490870840145718 0.0517255001164722 0.144879569548479 0.00294701090765709 "Actinopterygii"
"Catostomus_discobolus" 0 0.284632806256091 0 0.0183853726529054 0 0.110312235917433 0.348876074060523 0.0174438037030262 0.0348876074060523 0.0195223263162073 0.0878504684229327 0.078089305264829 "Actinopterygii"
"Plotosus_lineatus" 0.0214743502729625 0.0398809362212162 0.0337454075717983 0.20247244543079 0 0.110439515689522 0.352747109814293 0.0293955924845244 0.0587911849690489 0.0871462255072184 0.0639072320386268 0 "Actinopterygii"
"Melanotaenia_maccullochi" 0.0144629621597469 0.115703697277975 0 0 0 0.110723074547466 0.650190498870399 0 0 0.0136149708930516 0.0953047962513614 0 "Actinopterygii"
"Elassoma_zonatum" 0.0109605991914897 0.0705290730582815 0.017155720473636 0.0128765354627922 0.00572290465012987 0.110881277596266 0.557912020469908 0.0199968466118246 0.055991170513109 0.0254459972900219 0.099522122734308 0.0130057319482334 "Actinopterygii"
"Exocoetus_monocirrhus" 0.0158267933369934 0.11958021632395 0.00527559777899781 0.0154767124015103 0.00257945206691838 0.11091643887749 0.620512489566152 0 0.0454033528950843 0 0.0644289467529027 0 "Actinopterygii"
"Hippocampus_kuda" 0.00804213024987645 0.072379172248888 0 0.0318135203433143 0 0.1113473212016 0.669220124364719 0 0 0.0214395463183205 0.085758185273282 0 "Actinopterygii"
"Trachidermus_fasciatus" 0.00694916897273373 0.208475069182012 0 0 0 0.111607865319663 0.535802465386617 0.0214320986154647 0.0428641972309294 0.0104098764703686 0.0572543205870271 0.00520493823518428 "Actinopterygii"
"Lampris_guttatus" 0.0190101458872426 0.069703868253223 0.00633671529574754 0.0200018966634018 0.00400037933268035 0.11201062131505 0.449964542517698 0.034612657116746 0.200753411277127 0.00548234507154647 0.0726410721979907 0.00548234507154647 "Actinopterygii"
"Symphysodon_aequifasciata" 0 0.0220486820709308 0.0146991213806205 0 0 0.112146265735281 0.814027204733676 0 0 0.0123595753598307 0.0247191507196614 0 "Actinopterygii"
"Orestias_agassizii" 0.0129125511926685 0.116212960734017 0.0129125511926685 0.0281206670418115 0 0.112482668167246 0.432242472343887 0.0617489246205552 0.0617489246205552 0.046176651453312 0.103897465769952 0.011544162863328 "Actinopterygii"
"Neosalanx_taihuensis" 0.0383935732834981 0.153574293133992 0 0.0563876320396371 0 0.112775264079274 0.570373660713696 0 0 0 0.0342477883749513 0.0342477883749513 "Actinopterygii"
"Bathygobius_geminatus" 0 0.0958648010002657 0.00958648010002657 0 0.0141174035303874 0.112939228243099 0.491552428436008 0.0446865844032734 0.0893731688065469 0.065483033298643 0.065483033298643 0.0109138388831072 "Actinopterygii"
