"","species_name","ability_to_fly","GhAhSkew","fAn","fGn"
"Niltava_davidi","Niltava_davidi","Flying","0.483225197882058","0.12647609720117","0.36155079777159"
"Ninox_novaeseelandiae","Ninox_novaeseelandiae","Flying","0.563259887132011","0.105081614445029","0.3788537560238"
"Ninox_scutulata","Ninox_scutulata","Flying","0.618080800294589","0.0925140929675866","0.392990101385535"
"Ninox_strenua","Ninox_strenua","Flying","0.581070574354367","0.101804344783048","0.385640793825468"
"Nipponia_nippon","Nipponia_nippon","Flying","0.511878572552826","0.125431589857955","0.389058188858042"
"Nisaetus_alboniger","Nisaetus_alboniger","Flying","0.547113823337233","0.124851834576531","0.419689684470639"
"Nisaetus_nipalensis","Nisaetus_nipalensis","Flying","0.53653070803881","0.12750606087696","0.418727416215406"
"Nothocercus_julius","Nothocercus_julius","Tinamiformes","0.287271083990916","0.198770340399337","0.364042403604511"
"Nothocercus_nigrocapillus","Nothocercus_nigrocapillus","Tinamiformes","0.359133991547087","0.1725981132213","0.365123172109469"
"Nothoprocta_ornata","Nothoprocta_ornata","Tinamiformes","0.0328456001382126","0.28994801125138","0.309907295695648"
"Nothoprocta_pentlandii","Nothoprocta_pentlandii","Tinamiformes","0.0316241521137081","0.288976450719389","0.307293049629017"
"Nothoprocta_perdicaria","Nothoprocta_perdicaria","Tinamiformes","-0.0298911979882894","0.313836718191451","0.294848748091337"
"Notiomystis_cincta","Notiomystis_cincta","Flying","0.417441384573182","0.133112683610657","0.326110920972169"
"Nucifraga_caryocatactes","Nucifraga_caryocatactes","Flying","0.301593099734734","0.176591783976306","0.318920736297034"
"Nucifraga_columbiana","Nucifraga_columbiana","Flying","0.265929531465588","0.183260135693528","0.307772634619371"
"Numenius_phaeopus","Numenius_phaeopus","Flying","0.283157027313908","0.1835073525636","0.327145767766264"
"Numenius_tenuirostris","Numenius_tenuirostris","Flying","0.259615854524222","0.194747820178956","0.323228516303657"
"Nycticorax_nycticorax","Nycticorax_nycticorax","Flying","0.403010961880256","0.148699259149573","0.349990276380591"
"Nymphicus_hollandicus","Nymphicus_hollandicus","Flying","0.564477254295816","0.112187212196209","0.398256418193411"
"Oceanites_oceanicus","Oceanites_oceanicus","Flying","0.674127536181422","0.0816770403653391","0.422447753044212"
"Oceanodroma_castro","Oceanodroma_castro","Flying","0.413340040751604","0.152678527078675","0.369424307918846"
"Oceanodroma_tethys","Oceanodroma_tethys","Flying","0.396674845813931","0.151128004012561","0.352199463582697"
"Oenanthe_oenanthe","Oenanthe_oenanthe","Flying","0.570462943285949","0.115404188124622","0.413321582149949"
"Onychorhynchus_coronatus","Onychorhynchus_coronatus","Flying","0.366358851984432","0.182464189237263","0.395648163034714"
"Oreocharis_arfaki","Oreocharis_arfaki","Flying","0.0912959216038749","0.187199883805033","0.221359978788717"
"Oreomystis_bairdi","Oreomystis_bairdi","Flying","0.446400250491576","0.138693639933877","0.359732491047661"
"Oreopsar_bolivianus","Oreopsar_bolivianus","Flying","0.500146518285168","0.131255236960311","0.384526367165271"
"Oreotrochilus_melanogaster","Oreotrochilus_melanogaster","Flying","0.568040165204839","0.11165677587178","0.407509326918541"
"Origma_solitaria","Origma_solitaria","Flying","0.551035987127358","0.117056803781835","0.399345814110857"
"Oriolus_chinensis","Oriolus_chinensis","Flying","0.43933055587169","0.117987610555248","0.306039294038679"
"Oriolus_oriolus","Oriolus_oriolus","Flying","0.372962458861381","0.135119024216064","0.296717723206577"
"Orthonyx_spaldingii","Orthonyx_spaldingii","Flying","0.475669304927834","0.13377319849106","0.37148248892364"
"Otidiphaps_nobilis","Otidiphaps_nobilis","Columbiformes","0.346739055691825","0.17284409605891","0.353359117535427"
"Otis_tarda","Otis_tarda","Flying","0.461225395046019","0.14338772648546","0.393413697402666"
"Otus_bakkamoena","Otus_bakkamoena","Flying","0.307999523396344","0.178275226606994","0.336336833944892"
"Otus_scops","Otus_scops","Flying","0.581626400578258","0.107589860744796","0.401144025245685"
"Otus_sunia","Otus_sunia","Flying","0.581626400578258","0.107549613329104","0.40102222385609"
"Oxyruncus_cristatus","Oxyruncus_cristatus","Flying","0.282250077333692","0.203110331682407","0.361241718399751"
"Pachycephala_philippinensis","Pachycephala_philippinensis","Flying","0.00022761615947845","0.217307157354432","0.21646730037733"
"Pachyramphus_minor","Pachyramphus_minor","Flying","0.246119322094867","0.221981286520845","0.362875434332196"
"Padda_oryzivora","Padda_oryzivora","Flying","0.581696927819376","0.0914715374935613","0.336120588900455"
"Pagodroma_nivea","Pagodroma_nivea","Flying","0.359762716248105","0.159872506526023","0.344068175000053"
"Pandion_haliaetus","Pandion_haliaetus","Flying","0.510036790446522","0.118938689095482","0.360778726595775"
"Panurus_biarmicus","Panurus_biarmicus","Flying","0.408332922691573","0.166522975185335","0.389839256122615"
"Paradisaea_raggiana","Paradisaea_raggiana","Flying","0.278668651650174","0.154532279757794","0.277685730663096"
"Paradoxornis_fulvifrons","Paradoxornis_fulvifrons","Flying","0.313237890859448","0.1837410523997","0.356669361746789"
"Pardalotus_punctatus","Pardalotus_punctatus","Flying","0.527121090413256","0.123763030752036","0.396537562508444"
"Parophasma_galinieri","Parophasma_galinieri","Flying","0.472103807566204","0.129541536373399","0.359403182651842"
"Paroreomyza_montana","Paroreomyza_montana","Flying","0.47016808184671","0.130022209457878","0.353857160548396"
"Parus_major","Parus_major","Flying","0.690266557334938","0.0828116034990629","0.455393302781899"
"Parus_monticolus","Parus_monticolus","Flying","0.716250984420312","0.0774326775280373","0.464804665324945"
"Passer_ammodendri","Passer_ammodendri","Flying","0.538886785757109","0.119230823111923","0.385126777864888"
"Passer_domesticus","Passer_domesticus","Flying","0.588094878661605","0.0949331856121061","0.367402169559477"
"Passer_montanus","Passer_montanus","Flying","0.618189429399149","0.0895445307146654","0.369197285293459"
"Pelecanoides_urinatrix","Pelecanoides_urinatrix","Flying","0.298228528693649","0.176481553380013","0.325001251810245"
"Penelopides_panini","Penelopides_panini","Flying","0.642666335559089","0.0952462026784576","0.419776766059159"
"Pericrocotus_ethologus","Pericrocotus_ethologus","Flying","0.179331647492061","0.177199756167319","0.25819285787083"
"Petroica_australis","Petroica_australis","Flying","0.489207193143655","0.131772573615019","0.383400455787731"
"Petroica_goodenovii","Petroica_goodenovii","Flying","0.488532468979889","0.130943082396488","0.378125775433277"
"Petroica_macrocephala","Petroica_macrocephala","Flying","0.486745445127593","0.13035640168018","0.376835022000211"
"Petroica_phoenicea","Petroica_phoenicea","Flying","0.411491712863429","0.153224276444002","0.367312156826229"
"Peucedramus_taeniatus","Peucedramus_taeniatus","Flying","0.546089734178843","0.115243666881744","0.395497625789482"
"Phaethon_rubricauda","Phaethon_rubricauda","Flying","0.582769752740956","0.111694983625351","0.418767914034346"
"Phaethornis_malaris","Phaethornis_malaris","Flying","0.431169478153071","0.138478860499665","0.34662695400993"
"Phainopepla_nitens","Phainopepla_nitens","Flying","0.315224987892504","0.1669979915962","0.304254071369118"
"Phalacrocorax_auritus","Phalacrocorax_auritus","Flying","0.603752495623486","0.0927895346571603","0.377500519169916"
"Phalacrocorax_carbo","Phalacrocorax_carbo","Flying","0.498211553680077","0.119162450404247","0.354641434094419"
"Phalcoboenus_australis","Phalcoboenus_australis","Flying","0.659226332640177","0.0906268681881937","0.442206027938472"
"Philesturnus_carunculatus","Philesturnus_carunculatus","Flying","0.467559801974045","0.130417881716249","0.357656540608694"
"Phoebastria_albatrus","Phoebastria_albatrus","Flying","0.400209504726349","0.150250304699565","0.354619395537118"
"Phoebastria_immutabilis","Phoebastria_immutabilis","Flying","0.405294596142516","0.148801130898719","0.356389280225289"
"Phoebastria_nigripes","Phoebastria_nigripes","Flying","0.375273291170965","0.158871102225913","0.349564361164646"
"Phoenicopterus_roseus","Phoenicopterus_roseus","Flying","0.538715525641249","0.111467463121596","0.371624257611111"
