"","species_name","med_c","med_a","realm"
"246","Emberiza rustica",0.828396239269655,0.901009316770186,"Palearctic"
"247","Emberiza rutila",0.843956043956044,0.934769417475728,"Palearctic"
"248","Emberiza spodocephala",0.827586206896552,0.906759400130406,"Palearctic"
"249","Emberiza tristrami",0.849125053350406,0.922563087580406,"Palearctic"
"250","Eophona migratoria",0.815605590062112,0.936616507067944,"Palearctic"
"251","Eopsaltria australis",0.786777549935445,0.925492610837438,"Australian"
"252","Eopsaltria georgiana",0.774220202437513,0.897948557742372,"Australian"
"253","Epthianura albifrons",0.806878817100611,0.951308139534884,"Australian"
"254","Eremophila alpestris",0.832274247491639,0.928247549019608,"Palearctic"
"255","Erpornis zantholeuca",0.779562594268477,0.890455049944506,"Indo_Malay"
"256","Erythrocercus mccallii",0.864870509607352,0.91523733546071,"Afrotropic"
"257","Eudocimus ruber",0.732645403377111,0.940930232558139,"Neotropic"
"258","Eudromia elegans",0.673636178758452,0.943326271186441,"Neotropic"
"259","Eudyptes chrysocome",0.853744939271255,0.945220588235294,"Antarctic"
"260","Eudyptes chrysolophus",0.844748455428067,0.928253968253968,"Neotropic"
"261","Eudyptula minor",0.820339908006549,0.943589743589744,"Australian"
"262","Eulacestoma nigropectus",0.681327748159431,0.952786282914881,"Australian"
"263","Euphagus cyanocephalus",0.782521121244335,0.925128998968008,"Nearctic"
"264","Eurystomus gularis",0.767321373337458,0.927700348432056,"Afrotropic"
"265","Eurystomus orientalis",0.793041926851026,0.893557422969188,"Indo_Malay"
"266","Falco amurensis",0.811764705882353,0.932958801498127,"Palearctic"
"267","Falco cherrug",0.773355629877369,0.943259557344064,"Palearctic"
"268","Falco columbarius",0.808888888888889,0.928519593613933,"Nearctic"
"269","Falco naumanni",0.829666344294004,0.925,"Palearctic"
"270","Falco peregrinus",0.787490788504053,0.941698113207547,"Palearctic"
"271","Falco rusticolus",0.785652173913044,0.953256245227446,"Nearctic"
"272","Falco sparverius",0.8,0.925642594859241,"Nearctic"
"273","Falco subbuteo",0.809616858237548,0.92530657748049,"Palearctic"
"274","Falco tinnunculus",0.855356476297126,0.943958333333333,"Palearctic"
"275","Falcunculus frontatus",0.733816359696641,0.93726318857476,"Australian"
"276","Ficedula albicollis",0.852107558139535,0.917048054919908,"Palearctic"
"277","Ficedula zanthopygia",0.799038461538462,0.923076923076923,"Palearctic"
"278","Florisuga fusca",0.818574836016696,0.898787878787879,"Neotropic"
"279","Florisuga mellivora",0.815488332752873,0.919871794871795,"Neotropic"
"280","Formicarius rufipectus",0.731677136874167,0.942207142062521,"Neotropic"
"281","Forpus passerinus",0.819457467102072,0.955183946488294,"Neotropic"
"282","Francolinus pintadeanus",0.745286885245902,0.931439699167338,"Indo_Malay"
"283","Fregata magnificens",0.740280349113991,0.95823131211292,"Neotropic"
"284","Fringilla coelebs",0.81382625994695,0.927387431964374,"Palearctic"
"285","Fringilla montifringilla",0.80302247481271,0.941299392097264,"Palearctic"
"286","Furnarius figulus",0.677911079745942,0.943905635648755,"Neotropic"
"287","Gallicrex cinerea",0.732617849440279,0.924285714285714,"Indo_Malay"
"288","Gallinago stenura",0.637218045112782,0.962848297213622,"Palearctic"
"289","Gallinula chloropus",0.778061224489796,0.94387272918198,"Palearctic"
"290","Gallirallus striatus",0.71749226006192,0.941363777570674,"Indo_Malay"
"291","Gallus gallus",0.809994272623139,0.903995560488346,"Indo_Malay"
"292","Gallus sonneratii",0.785890218156228,0.935416666666667,"Indo_Malay"
"293","Gallus varius",0.792513368983957,0.907687758722649,"Indo_Malay"
"294","Garrulax albogularis",0.790598290598291,0.952777777777778,"Palearctic"
"295","Garrulax canorus",0.837768866204885,0.874166161309885,"Indo_Malay"
"296","Garrulax formosus",0.796621359223301,0.936141304347826,"Palearctic"
"297","Garrulax perspicillatus",0.807528409090909,0.901282666027332,"Indo_Malay"
"298","Garrulax poecilorhynchus",0.78150705052879,0.942179144385027,"Indo_Malay"
"299","Garrulax sannio",0.857112794612795,0.88558402084238,"Indo_Malay"
"300","Garrulus glandarius",0.68452380952381,0.921189120809614,"Palearctic"
"301","Gavia pacifica",0.785645933014354,0.923803507947234,"Nearctic"
"302","Gavia stellata",0.782590051457976,0.888529411764706,"Palearctic"
"303","Geococcyx californianus",0.791169895678092,0.96881072677808,"Nearctic"
"304","Geopelia cuneata",0.779643008924777,0.912637940094587,"Australian"
"305","Geospiza magnirostris",0.823157110945644,0.937621202327085,"Neotropic"
"306","Geotrygon violacea",0.712942432454628,0.904286499358857,"Neotropic"
"307","Gerygone igata",0.766791979949875,0.90765503875969,"Australian"
"308","Glaucidium cuculoides",0.847282139775669,0.947774997279948,"Indo_Malay"
"309","Glaucis hirsutus",0.747941720629047,0.930952380952381,"Neotropic"
"310","Gnorimopsar chopi",0.795777062886817,0.935731132075472,"Neotropic"
"311","Goura cristata",0.772349514563107,0.867389596102467,"Australian"
"312","Goura scheepmakeri",0.750726885055243,0.883799421407907,"Australian"
"313","Goura victoria",0.754560745245181,0.890329012961117,"Australian"
"314","Gracula religiosa",0.833384819064431,0.923048600883652,"Indo_Malay"
"315","Grallaria varia",0.757820136852395,0.928112492100274,"Neotropic"
"316","Grantiella picta",0.722026209677419,0.883775877587759,"Australian"
"317","Grus americana",0.746336633663366,0.945949883449883,"Nearctic"
"318","Grus carunculatus",0.746287128712871,0.942918192918193,"Afrotropic"
"319","Grus grus",0.744901960784314,0.931971991423211,"Palearctic"
"320","Grus japonensis",0.752851259306194,0.921988892745574,"Palearctic"
"321","Grus leucogeranus",0.745689655172414,0.940002397506593,"Palearctic"
"322","Grus monacha",0.73603138155377,0.941420855837142,"Palearctic"
"323","Grus nigricollis",0.741729593671341,0.95,"Palearctic"
"324","Grus paradisea",0.73515205724508,0.945903689806129,"Afrotropic"
"325","Grus virgo",0.732334554180349,0.944736199316072,"Palearctic"
"326","Guaruba guarouba",0.747595613048369,0.893391985438098,"Neotropic"
"327","Gymnomystax mexicanus",0.818336095982319,0.959635416666667,"Neotropic"
"328","Gymnorhina tibicen",0.742902838864454,0.902036199095023,"Australian"
"329","Haematopus ater",0.777839291363493,0.918419489007724,"Neotropic"
"330","Haematopus ostralegus",0.775067750677507,0.920840787119857,"Palearctic"
"331","Haematortyx sanguiniceps",0.778036110762012,0.907738095238095,"Indo_Malay"
"332","Halcyon coromanda",0.80595427963849,0.925222734254992,"Indo_Malay"
"333","Halcyon senegalensis",0.81252312245653,0.943415309272863,"Afrotropic"
"334","Halcyon smyrnensis",0.82588666534575,0.935385264045536,"Indo_Malay"
"335","Haliaeetus albicilla",0.769298245614035,0.912024965325936,"Palearctic"
"336","Heliodoxa aurescens",0.791872937293729,0.889523809523809,"Neotropic"
"337","Heliornis fulica",0.717021276595745,0.894545741573921,"Neotropic"
"338","Hemignathus flavus",0.740900900900901,0.935812356979405,"Oceania"
"339","Hemiphaga novaeseelandiae",0.774214103653356,0.937326133202422,"Australian"
"340","Henicorhina leucosticta",0.788085058505851,0.91281512605042,"Neotropic"
"341","Herpetotheres cachinnans",0.784330011074197,0.899683308494784,"Neotropic"
"342","Himantopus himantopus",0.800990099009901,0.95531561461794,"Palearctic"
"343","Himatione sanguinea",0.77067868504772,0.921936758893281,"Oceania"
"344","Hirundo aethiopica",0.776230191826522,0.917713112774692,"Afrotropic"
"345","Hirundo albigularis",0.786011904761905,0.928966131907308,"Afrotropic"
"346","Hirundo angolensis",0.763534176378213,0.925429553264605,"Afrotropic"
"347","Hirundo atrocaerulea",0.756084656084656,0.910509152894093,"Afrotropic"
"348","Hirundo dimidiata",0.75894281157439,0.904827759617802,"Afrotropic"
"349","Hirundo neoxena",0.790764790764791,0.921038732394366,"Australian"
"350","Hirundo nigrita",0.76971790443293,0.924915635545557,"Afrotropic"
"351","Hirundo smithii",0.76920045045045,0.922322775263952,"Afrotropic"
"352","Hirundo tahitica",0.811253561253561,0.915495706479313,"Indo_Malay"
"353","Hydrophasianus chirurgus",0.763256161314414,0.959145388223033,"Indo_Malay"
"354","Hylia prasina",0.812169312169312,0.94700332963374,"Afrotropic"
"355","Hyliota flavigaster",0.7299739195231,0.953379700065203,"Afrotropic"
"356","Hylocharis cyanus",0.804737882255045,0.903912543153049,"Neotropic"
"357","Hypocryptadius cinnamomeus",0.839403853801381,0.931115591397849,"Indo_Malay"
"358","Ifrita kowaldi",0.717436974789916,0.913628831814416,"Australian"
"359","Indicator maculatus",0.735544598834603,0.950716845878136,"Afrotropic"
"360","Indicator xanthonotus",0.616089530451707,0.94281045751634,"Indo_Malay"
"361","Irena cyanogastra",0.829722222222222,0.896176470588235,"Indo_Malay"
"362","Ithaginis cruentus",0.731924508240298,0.943587662337662,"Palearctic"
"363","Ixobrychus cinnamomeus",0.748076923076923,0.954016913319239,"Indo_Malay"
"364","Ixobrychus eurhythmus",0.736836080586081,0.946203205303652,"Palearctic"
"365","Ixobrychus flavicollis",0.695527236381809,0.948509231536926,"Indo_Malay"
"366","Ixobrychus sinensis",0.754237288135593,0.952748110760994,"Indo_Malay"
"367","Jacana jacana",0.750815628232673,0.952088639836984,"Neotropic"
"368","Jacana spinosa",0.747427281318912,0.945787545787546,"Neotropic"
"369","Jynx ruficollis",0.683128238341969,0.929129464285714,"Afrotropic"
"370","Jynx torquilla",0.673056722689076,0.932230059685296,"Palearctic"
"371","Lagopus lagopus",0.689278455284553,0.939652047843421,"Palearctic"
