Binomial,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Beak_PC1,Beak_PC2,Beak_PC3,Beak_PC4,Realm,TrophicLevel,TrophicNiche,ForagingNiche
Aceros_comatus,"5,789074695","-1,608539822","-0,6840225916","-0,2638288146","0,2282431102","-0,1895123576","-0,028580929","0,1794847872","0,1017877278","4,200471336","0,1401992311","-0,04652836033","0,0270632111",Indo_Malay,Carnivore,Omnivore,NA
Aceros_corrugatus,"5,655878797","-1,712870988","-0,4145802521","0,2015725573","0,01083702655","-0,01161714716","-0,1372119893","0,2149124187","0,1492562117","4,2484219","0,02016885524","-0,1315990073","0,02801461621",Indo_Malay,Herbivore,Frugivore,Fugivore glean
Aceros_everetti,"5,654390296","-1,579647383","-0,2623880769","0,01569419981","0,005487891441","-0,1267766175","0,2147318271","0,1051648958","0,02937297897","4,073749575","0,2018164958","0,21799566","0,05953040713",Australian,Herbivore,Frugivore,Fugivore glean
Aceros_leucocephalus,"5,125039781","-1,595263788","-0,3593650488","0,04421594538","0,08029797288","-0,04467762714","0,1962276016","0,07144574909","0,0912814185","3,867976915","0,1275828377","0,1993615383","0,02694126102",Indo_Malay,Herbivore,Frugivore,Fugivore glean
Aceros_narcondami,"4,575318611","-1,632276027","-0,3174805891","0,0383949102","0,1412989708","0,03142288161","0,2698540454","-0,01245858782","0,0451233247","3,633587271","0,1705711023","0,2818261051","0,0800486559",Indo_Malay,Herbivore,Frugivore,Fugivore glean
Aceros_nipalensis,"6,523965669","-1,850219163","-0,6078464886","-0,2726995428","0,2275798818","-0,2497844743","0,03003862935","0,03053133781","0,08714643048","4,748926362","0,236655785","0,01646871328","0,03456097209",Indo_Malay,Herbivore,Frugivore,Fugivore glean
Aceros_plicatus,"5,986391145","-1,982868007","-0,41524472","0,1295774543","0,1654077752","0,01459997683","0,001318119503","0,06157433886","0,1220203144","4,643524849","0,1273137426","0,008632554168","0,06088594722",Australian,Herbivore,Frugivore,Fugivore glean
Aceros_subruficollis,"5,882977335","-1,696835128","-0,1460029213","0,05442003708","-0,02885876313","-0,003431085243","0,2577088178","0,07074963567","0,04419050125","4,271135916","0,2745895484","0,272771249","0,05899588639",Indo_Malay,Herbivore,Frugivore,Fugivore glean
Aceros_undulatus,"6,201629501","-1,94531726","-0,4450621115","0,05267953461","-0,1778816132","0,07411665212","0,0811662729","0,2920163152","0,1340752043","4,646724305","0,1754587211","0,1082781851","0,05746131421",Indo_Malay,Herbivore,Frugivore,Fugivore glean
Aceros_waldeni,"5,760433755","-1,563553958","-0,4296253466","0,1465126127","0,1462249045","-0,1635878669","-0,1087499934","0,06799612665","0,09932882125","4,189149667","-0,01217205749","-0,1180986389","0,02606399508",Indo_Malay,Herbivore,Frugivore,Fugivore glean
Achaetops_pycnopygius,"-0,8478401703","0,2116078278","0,09181301577","-0,25399124","0,2236129616","-0,3087844044","-0,1279900785","0,0810493445","0,113522121","-0,6080091628","0,1953689373","-0,1854556529","-0,1666014272",Afrotropic,Carnivore,Invertivore,Invertivore glean arboreal
Acridotheres_albocinctus,"0,8167501856","0,1159452812","0,1817458275","-0,0508342798","0,1951079744","0,009457733757","-0,02782354612","-0,02292416282","0,03095931681","0,2977566991","0,09814164502","-0,05114523005","-0,07469940414",Indo_Malay,Omnivore,Omnivore,NA
Acridotheres_cinereus,"0,8782749248","0,05721465136","0,1197941531","-0,002374098146","0,2086783921","0,05129432587","0,04592522584","-0,01512369388","0,01803272776","0,3940724145","0,04264291377","0,02666474579","-0,05179127858",Australian,Omnivore,Omnivore,NA
Acridotheres_cristatellus,"1,063233233","0,1980333414","0,1627657306","0,04516459887","0,1949476093","0,03441331714","-0,0688868063","-0,007154708887","0,01984384374","0,3691178051","-0,008149534809","-0,09143530979","-0,06598673805",Palearctic,Omnivore,Omnivore,NA
Acridotheres_fuscus,"0,7801087057","0,001656230263","0,09900353476","0,01633904539","0,261775794","0,08621840432","0,09664267737","-0,05084846405","0,00418316581","0,4067079411","0,03073884589","0,0795646641","-0,0308895602",Indo_Malay,Omnivore,Omnivore,NA
Acridotheres_ginginianus,"0,5221213706","0,1349497204","0,1342596537","-0,09810413003","0,2381280899","0,05794070736","-0,009849183156","-0,02758051462","0,03565812498","0,1435888784","0,09983066618","-0,03209709545","-0,07143487791",Indo_Malay,Omnivore,Omnivore,NA
Acridotheres_grandis,"0,9011335535","0,1106410084","0,1586842548","0,04440850301","0,1961037076","0,1020597219","0,006276966028","0,002984697163","-0,01742148545","0,3586761847","0,02110918265","-0,007233718837","-0,01454354494",Indo_Malay,Omnivore,Invertivore,Invertivore ground
Acridotheres_tristis,"1,147258372","0,1489583241","0,08304596459","0,02243692503","0,1972883431","0,08606874171","-0,007856399061","0,01126522351","0,01863743104","0,4559709123","-0,0275022155","-0,02574218706","-0,05358836603",Indo_Malay,Carnivore,Omnivore,NA
Acrobatornis_fonsecai,"-1,857216043","0,3622808015","-0,1373488998","-0,05085096963","0,07909810355","-0,06586643369","-0,04601297226","-0,01383321449","-0,1892212525","-1,196568574","-0,1218329629","-0,04108756649","0,1730942236",Neotropic,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_aedon,"-0,8268865266","-0,008044427884","-0,2216439367","-0,1332848898","0,3179021311","-0,1142943938","0,07591728602","-0,1226527608","-0,00934811625","-0,3393539828","-0,04436913141","0,05267853498","0,002530041595",Palearctic,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_aequinoctialis,"-0,9908653519","0,1076051764","0,2926809729","-0,3210200827","0,2157787797","-0,1090578747","0,06070319163","0,009602408543","0,04390022616","-0,636626081","0,3976701079","0,02513630943","-0,09628925928",Oceania,Carnivore,Invertivore,Invertivore ground
Acrocephalus_agricola,"-2,131577902","0,1395146685","0,004834611934","-0,2083255943","0,3450884873","-0,1111547135","0,1589064968","-0,1041587079","-0,009904194435","-1,135265322","0,1348997576","0,1278200821","-0,02103388939",Palearctic,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_arundinaceus,"-0,5038950189","-0,08508304976","0,02536603617","-0,2086080914","0,2744379145","-0,08485705173","0,03717275318","-0,09782480516","0,02793886181","-0,1716816768","0,1841977813","0,01244450421","-0,04125000092",Palearctic,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_atyphus,"-0,3689035826","-0,209176111","0,07481060031","-0,3406422284","0,3090944532","-0,06449062834","0,1043194415","-0,01557052495","0,05548135505","-0,03336917592","0,351857681","0,07301202206","-0,06478111424",Oceania,Carnivore,Invertivore,Invertivore glean arboreal
Acrocephalus_australis,"-1,253386266","-0,0130505261","0,05635474666","-0,2707966796","0,2937358086","-0,09962530865","0,04678835621","-0,07610348314","0,03208808096","-0,6083022449","0,2421966665","0,01758401228","-0,0486749135",Australian,Carnivore,Invertivore,Invertivore glean arboreal
