Species,A_T,A_G,A_C,T_A,T_G,T_C,G_A,G_T,G_C,C_A,C_T,C_G,Class
Cyclarhis_gujanensis,0.00497840995653051,0.0622301244566314,0.00995681991306102,0.0244341908358732,0.0122170954179366,0.191401161547673,0.532989548503396,0.00772448621019415,0.00772448621019415,0.0353243358151575,0.108496174289412,0.00252316684393982,Aves
Trogon_collaris,0.00638173786683604,0.0382904272010162,0,0.0259100952041898,0,0.194325714031424,0.566831672321512,0,0.0515301520292283,0.0179584925147376,0.0987717088310566,0,Aves
Saltator_maximus,0,0.0402204407664898,0.00874350306589147,0,0,0.195595049139803,0.675208173026631,0,0.0424011032272474,0.00257538284907965,0.0352563479248571,0,Aves
Parus_major,0.001002776316338,0.0231639209910495,0.00504723682011518,0.00456580080139954,0,0.19584911247226,0.712108988409948,0.0240845992273826,0,0.00300670121162343,0.0281758876801572,0.00299497606972633,Aves
Muscicapa_striata,0.00599562445527961,0.0479649956422369,0,0.0263395000639802,0,0.197546250479851,0.684995305178271,0,0,0,0.0371583241803811,0,Aves
Orthotomus_sericeus,0,0.0452576701433118,0.00905153402866237,0,0,0.197907644419518,0.586710457668887,0,0,0.0483218081218863,0.112750885617735,0,Aves
Celeus_elegans,0.0242499884779507,0.0484999769559014,0,0,0,0.199143844773474,0.686600420039887,0,0,0,0.0415057697527872,0,Aves
Paradoxornis_nipalensis,0.00319212115832694,0.01724635067757,0.00483251255080873,0.00403159696172854,0,0.20225101804562,0.618976326291296,0,0.016591572111729,0.0189283718121837,0.113950130390737,0,Aves
Phoenicurus_auroreus,0,0.0811266471936409,0,0,0,0.203812910142621,0.580866793906469,0,0,0,0.115023127506231,0.0191705212510386,Aves
Sturnella_magna,0,0.0866461441053821,0.00731518160034803,0,0,0.203849680441429,0.514109290687989,0.0363775592916256,0.0446177632709969,0.0209744448417444,0.0820952952080305,0.00401464055245418,Aves
Myioborus_miniatus,0.00520629392810502,0.0182220287483676,0.01041258785621,0,0.0169970184123429,0.203964220948114,0.675419019160474,0.0397305305388514,0,0.00667740009056327,0.0233709003169714,0,Aves
Zosterops_lateralis,0,0.0289516564027401,0.00408924793281208,0.0159711637903248,0,0.204392765990928,0.694413343351922,0,0,0.00982720139912801,0.0423546211321458,0,Aves
Periparus_ater,0.00486164816758736,0.00729247225138105,0.0145849445027621,0,0,0.204818788988429,0.637884931271746,0.0167864455597828,0.0503593366793484,0.00768623425199558,0.0518820812009701,0.00384311712599779,Aves
Trogon_viridis,0.0211172493293287,0.0211172493293287,0,0,0.0374102994584229,0.205756647021326,0.271224671073566,0.271224671073566,0,0.0286915354524103,0.143457677262051,0,Aves
Pomatorhinus_ruficollis,0.00264447486828581,0.0513311726469311,0.00526473097641416,0.00294581478911497,0.00240310731619812,0.2072730150156,0.656869246816722,0.00874288385432605,0.00321648734390957,0.0118428024428038,0.0474662639296949,0,Aves
Copsychus_saularis,0.0021038155347797,0.0201127184234599,0.00631144660433909,0.0347690141045723,0,0.207381732891502,0.613595595621264,0.0150697221458676,0.0448216198594839,0.0212459616839348,0.0306365980122606,0.0039517751185363,Aves
Eopsaltria_australis,0.00241245248612339,0.022203372491557,0.00601449964643896,0.0279445891437388,0.00737074532659588,0.207415192717397,0.578710151940811,0.0098391577005889,0.0380468023522044,0.0136824458836202,0.0846725116016566,0.00168807870926764,Aves
Zosterops_palpebrosus,0.00292668240394341,0.0260050167791029,0.00281497411848082,0.0209820329363433,0,0.208174832551589,0.672550278502514,0,0.015492783481713,0.00642064203493293,0.04463275719138,0,Aves
Enicurus_leschenaulti,0.00683450733196628,0.0444242976577808,0.00683450733196628,0.00947966184329214,0.00947966184329214,0.208552560552427,0.566409795136706,0.0492530256640614,0,0.0311785208332131,0.0675534618052952,0,Aves
Terpsiphone_viridis,0.0148680331297223,0.0669061490837504,0.00743401656486116,0.0385043934897937,0,0.211774164193865,0.523404120633046,0,0,0.00979350877892579,0.117522105347109,0.00979350877892579,Aves
Garrulax_chinensis,0.00548398984967255,0.0448144739729198,0.00806239934275456,0,0,0.21234961820587,0.496398600349603,0,0.124099604392795,0.00657862128226284,0.0956340713218592,0.00657862128226284,Aves
Amazona_farinosa,0.0139962048978477,0.0419886146935431,0,0.214380894532887,0,0.214380894532887,0.439480833792418,0,0,0.0378862787752085,0.0378862787752085,0,Aves
Pycnonotus_plumosus,0.0204497087021427,0.00511242717553569,0,0.0662693567716054,0,0.215375409507718,0.587588296708235,0,0,0.0409129782190747,0.0642918229156888,0,Aves
Adelomyia_melanogenys,0.00301316598333941,0.0154490288037634,0.000902024932636897,0.0143418218036315,0.00509329271659221,0.215863014424856,0.586463668776785,0.0172981645040605,0.102119705985757,0.00433327805219783,0.030877018338076,0.00424581567830451,Aves
Anser_cygnoides,0.0020878591489085,0.0762018827033046,0.00665031176716379,0,0.0138693908339118,0.218947848998561,0.589315373546631,0.0138693908339118,0.0156708958459418,0.00267130023765636,0.0579260478822087,0.00278969820180081,Aves
