Species Class
663 Hypseleotris_galii Actinopterygii
664 Hypseleotris_klunzingeri Actinopterygii
665 Hypsignathus_monstrosus Mammalia
666 Iberochondrostoma_olisiponensis Actinopterygii
667 Ichthyophis_bannanicus Amphibia
668 Ictalurus_pricei Actinopterygii
669 Ictalurus_punctatus Actinopterygii
670 Icterus_cayanensis Aves
671 Ictidomys_parvidens Mammalia
672 Ictidomys_tridecemlineatus Mammalia
673 Ictiobus_bubalus Actinopterygii
674 Imantodes_cenchoa Reptilia
675 Indotestudo_elongata Reptilia
676 Indotestudo_forstenii Reptilia
677 Indri_indri Mammalia
678 Inia_boliviensis Mammalia
679 Inia_geoffrensis Mammalia
680 Istiophorus_platypterus Actinopterygii
681 Ithaginis_cruentus Aves
682 Jaculus_jaculus Mammalia
683 Jinshaia_sinensis Actinopterygii
684 Katsuwonus_pelamis Actinopterygii
685 Kerivoula_minuta Mammalia
686 Kobus_ellipsiprymnus Mammalia
687 Kobus_leche Mammalia
688 Koreocobitis_rotundicaudata Actinopterygii
689 Labeo_bata Actinopterygii
690 Labeo_boggut Actinopterygii
691 Labeo_fimbriatus Actinopterygii
692 Labeo_gonius Actinopterygii
693 Labeo_rohita Actinopterygii
694 Labeobarbus_intermedius Actinopterygii
695 Lacerta_bilineata Reptilia
696 Ladislavia_taczanowskii Actinopterygii
697 Lagenorhynchus_albirostris Mammalia
698 Lagocephalus_inermis Actinopterygii
699 Lagocephalus_lunaris Actinopterygii
700 Lagocephalus_spadiceus Actinopterygii
701 Lagothrix_lagotricha Mammalia
702 Lama_glama Mammalia
703 Lama_guanicoe Mammalia
704 Lampetra_appendix Petromyzontiformes
705 Lampetra_fluviatilis Petromyzontiformes
706 Lampetra_planeri Petromyzontiformes
707 Lampetra_sp. Petromyzontiformes
708 Lampetra_tridentata Petromyzontiformes
709 Lampornis_amethystinus Aves
710 Lampris_guttatus Actinopterygii
711 Lamprologus_tigripictilis Actinopterygii
712 Lampropeltis_alterna Reptilia
713 Lampropeltis_getula Reptilia
714 Lampropeltis_mexicana Reptilia
715 Lampropeltis_pyromelana Reptilia
716 Lampropeltis_triangulum Reptilia
717 Lanius_bucephalus Aves
718 Lanius_collurio Aves
719 Lanius_cristatus Aves
720 Lanius_meridionalis Aves
721 Lanius_schach Aves
722 Lanius_tephronotus Aves
723 Laonastes_aenigmamus Mammalia
724 Larimichthys_crocea Actinopterygii
725 Larimichthys_polyactis Actinopterygii
726 Larus_argentatus Aves
727 Larus_canus Aves
728 Larus_dominicanus Aves
729 Larus_fuscus Aves
730 Larus_hyperboreus Aves
731 Larus_marinus Aves
